date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020-01-25,1.0,1.0,,,,,,,,,
2020-01-26,1.0,0.0,,,,,,,,,
2020-01-27,1.0,0.0,,,,,,,,,
2020-01-28,1.0,0.0,,,,3.0,,,,,
2020-01-29,1.0,0.0,,,1.0,4.0,,,,,
2020-01-30,1.0,0.0,,,1.0,5.0,,,,,
2020-01-31,1.0,0.0,,,,,,,,,
2020-02-01,1.0,0.0,,,,,,,,,
2020-02-02,1.0,0.0,,,,,,,,,
2020-02-03,1.0,0.0,,,,,,,,,
2020-02-04,1.0,0.0,,,,14.0,0.0,,,,
2020-02-05,1.0,0.0,,,,,0.0,,,,
2020-02-06,1.0,0.0,,,,18.0,0.0,,,,
2020-02-07,1.0,0.0,,,,,0.0,,,,
2020-02-08,1.0,0.0,,,,,0.0,,,,
2020-02-09,1.0,0.0,,,,,0.0,,,,
2020-02-10,1.0,0.0,,,,,0.0,,,,
2020-02-11,1.0,0.0,,,,,0.0,,,,
2020-02-12,1.0,0.0,,,,20.0,0.0,,,,
2020-02-13,1.0,0.0,,,4.0,24.0,0.0,,,,
2020-02-14,1.0,0.0,,,,,0.0,,,,
2020-02-15,1.0,0.0,,,,,0.0,,,,
2020-02-16,1.0,0.0,,,,34.0,0.0,,,,
2020-02-17,1.0,0.0,,,,,0.0,,,,
2020-02-18,1.0,0.0,,,,35.0,0.0,,,,
2020-02-19,1.0,0.0,,,175.0,210.0,0.0,,,,
2020-02-20,1.0,0.0,,,2.0,212.0,0.0,,,,
2020-02-21,1.0,0.0,,,,,0.0,,,,
2020-02-22,1.0,0.0,,,,,0.0,,,,
2020-02-23,1.0,0.0,,,,216.0,0.0,,,,
2020-02-24,1.0,0.0,,,1.0,217.0,0.0,,,,
2020-02-25,1.0,0.0,,,4.0,221.0,0.0,,,,
2020-02-26,1.0,0.0,,,1.0,222.0,0.0,,,,
2020-02-27,1.0,0.0,,,,,0.0,,,,
2020-02-28,1.0,0.0,,,,224.0,0.0,,,,
2020-02-29,1.0,0.0,,,,,0.0,,,,
2020-03-01,1.0,0.0,,,,243.0,0.0,,,,
2020-03-02,1.0,0.0,,,182.0,425.0,0.0,,,,
2020-03-03,1.0,0.0,,,8.0,433.0,0.0,,,,
2020-03-04,1.0,0.0,,,,,0.0,,,,
2020-03-05,1.0,0.0,,,,,0.0,,,,
2020-03-06,1.0,0.0,,,,437.0,0.0,,,,
2020-03-07,1.0,0.0,,,,,0.0,,,,
2020-03-08,1.0,0.0,,,,,0.0,,,,
2020-03-09,1.0,0.0,,,,,0.0,,,,
2020-03-10,1.0,0.0,,,,445.0,0.0,,,,
2020-03-11,1.0,0.0,,,2.0,447.0,0.0,,,,
2020-03-12,1.0,0.0,,,3.0,450.0,0.0,,,,
2020-03-13,1.0,0.0,,,6.0,456.0,0.0,,,,
2020-03-14,1.0,0.0,,,,,0.0,,,,
2020-03-15,1.0,0.0,,,,467.0,0.0,,,,
2020-03-16,1.0,0.0,,,11.0,478.0,0.0,,,,
2020-03-17,1.0,0.0,,,18.0,496.0,0.0,,,,
2020-03-18,1.0,0.0,,,16.0,512.0,0.0,,,,
2020-03-19,1.0,0.0,,,17.0,529.0,0.0,,,,
2020-03-20,1.0,0.0,,,17.0,546.0,0.0,,,,
2020-03-21,1.0,0.0,,,,,0.0,,,,
2020-03-22,1.0,0.0,,,,572.0,0.0,,,,
2020-03-23,2.0,1.0,,,37.0,609.0,0.008,132.9,,,
2020-03-24,2.0,0.0,,,1.0,610.0,0.009,111.9,,,
2020-03-25,3.0,1.0,,,77.0,687.0,0.011,87.4,,,
2020-03-26,3.0,0.0,,,71.0,758.0,0.009,115.4,,,
2020-03-27,4.0,1.0,,,44.0,802.0,0.012,86.2,,,
2020-03-28,5.0,1.0,,,73.0,875.0,0.013,78.8,,,
2020-03-29,5.0,0.0,,,42.0,917.0,0.012,85.8,,,
2020-03-30,5.0,0.0,,,76.0,993.0,0.008,128.2,,,
2020-03-31,5.0,0.0,,,67.0,1060.0,0.007,149.2,,,
2020-04-01,5.0,0.0,,,85.0,1145.0,0.004,227.3,,,
2020-04-02,6.0,1.0,,,40.0,1185.0,0.007,142.2,,,
2020-04-03,6.0,0.0,,,123.0,1308.0,0.004,251.7,,,
2020-04-04,9.0,3.0,,,213.0,1521.0,0.006,161.1,,,
2020-04-05,9.0,0.0,,,121.0,1642.0,0.005,182.1,,,
2020-04-06,9.0,0.0,,,248.0,1890.0,0.004,224.2,,,
2020-04-07,9.0,0.0,,,232.0,2122.0,0.004,266.2,,,
2020-04-08,9.0,0.0,,,244.0,2366.0,0.003,304.7,,,
2020-04-09,9.0,0.0,,,529.0,2895.0,0.002,568.8,,,
2020-04-10,9.0,0.0,,,630.0,3525.0,0.001,738.9,,,
2020-04-11,9.0,0.0,,,901.0,4426.0,0.0,,,,
2020-04-12,12.0,3.0,,,758.0,5184.0,0.001,1179.5,,,
2020-04-13,14.0,2.0,,,507.0,5691.0,0.001,760.5,,,
2020-04-14,16.0,2.0,,,608.0,6299.0,0.002,597.0,,,
2020-04-15,16.0,0.0,,,572.0,6871.0,0.002,644.0,,,
2020-04-16,16.0,0.0,,,369.0,7240.0,0.002,621.0,,,
2020-04-17,30.0,14.0,,,218.0,7458.0,0.005,187.3,,,
2020-04-18,31.0,1.0,,,555.0,8013.0,0.006,162.9,,,
2020-04-19,31.0,0.0,,,68.0,8081.0,0.007,152.5,,,
2020-04-20,31.0,0.0,,,333.0,8414.0,0.006,160.1,,,
2020-04-21,43.0,12.0,,,349.0,8763.0,0.011,91.3,,,
2020-04-22,45.0,2.0,,,251.0,9014.0,0.014,73.9,,,
2020-04-23,48.0,3.0,,,186.0,9200.0,0.016,61.3,,,
2020-04-24,49.0,1.0,,,206.0,9406.0,0.01,102.4,,,
2020-04-25,49.0,0.0,,,260.0,9666.0,0.011,91.8,,,
2020-04-26,52.0,3.0,,,265.0,9931.0,0.011,88.0,,,
2020-04-27,52.0,0.0,,,540.0,10471.0,0.01,98.0,,,
2020-04-28,54.0,2.0,,,336.0,10807.0,0.005,185.9,,,
2020-04-29,57.0,3.0,,,717.0,11524.0,0.005,209.5,,,
2020-04-30,57.0,0.0,,,487.0,12011.0,0.003,312.6,,,
2020-05-01,59.0,2.0,,,566.0,12577.0,0.003,317.0,,,
2020-05-02,59.0,0.0,,,521.0,13098.0,0.003,342.9,,,
2020-05-03,75.0,16.0,,,326.0,13424.0,0.007,151.9,,,
2020-05-04,75.0,0.0,,,216.0,13640.0,0.007,137.9,,,
2020-05-05,82.0,7.0,,,210.0,13850.0,0.009,108.8,,,
2020-05-06,99.0,17.0,,,246.0,14096.0,0.016,61.2,,,
2020-05-07,101.0,2.0,,,415.0,14511.0,0.018,56.8,,,
2020-05-08,102.0,1.0,,,981.0,15492.0,0.015,67.7,,,
2020-05-09,110.0,8.0,,,817.0,16309.0,0.016,63.0,,,
2020-05-10,110.0,0.0,,,589.0,16898.0,0.01,99.2,,,
2020-05-11,134.0,24.0,,,911.0,17809.0,0.014,70.7,,,
2020-05-12,217.0,83.0,,,1155.0,18964.0,0.026,37.9,,,
2020-05-13,250.0,33.0,,,2376.0,21340.0,0.021,48.0,,,
2020-05-14,249.0,-1.0,,,1324.0,22664.0,0.018,55.1,,,
2020-05-15,267.0,18.0,,,1250.0,23914.0,0.02,51.0,,,
2020-05-16,291.0,24.0,1.0,1.0,2777.0,26691.0,0.017,57.4,,,
2020-05-17,295.0,4.0,2.0,1.0,1470.0,28161.0,0.016,60.9,,,
2020-05-18,375.0,80.0,2.0,0.0,2563.0,30724.0,0.019,53.6,,,
2020-05-19,402.0,27.0,2.0,0.0,2282.0,33006.0,0.013,75.9,,,
2020-05-20,427.0,25.0,2.0,0.0,2488.0,35494.0,0.013,80.0,,,
2020-05-21,457.0,30.0,3.0,1.0,3243.0,38737.0,0.013,77.3,,,
2020-05-22,516.0,59.0,3.0,0.0,3780.0,42517.0,0.013,74.7,,,
2020-05-23,584.0,68.0,3.0,0.0,3442.0,45959.0,0.015,65.8,,,
2020-05-24,603.0,19.0,3.0,0.0,2856.0,48815.0,0.015,67.1,,,
2020-05-25,682.0,79.0,4.0,1.0,2827.0,51642.0,0.015,68.1,,,
2020-05-26,772.0,90.0,4.0,0.0,3055.0,54697.0,0.017,58.6,,,
2020-05-27,886.0,114.0,4.0,0.0,3580.0,58277.0,0.02,49.6,,,
2020-05-28,1042.0,156.0,5.0,1.0,2639.0,60916.0,0.026,37.9,,,
2020-05-29,1212.0,170.0,6.0,1.0,3238.0,64154.0,0.032,31.1,,,
2020-05-30,1401.0,189.0,6.0,0.0,2575.0,66729.0,0.039,25.4,,,
2020-05-31,1572.0,171.0,8.0,2.0,2858.0,69587.0,0.047,21.4,,,
2020-06-01,1811.0,239.0,8.0,0.0,2316.0,71903.0,0.056,17.9,,,
2020-06-02,2099.0,288.0,8.0,0.0,3440.0,75343.0,0.064,15.6,,,
2020-06-03,2300.0,201.0,9.0,1.0,4924.0,80267.0,0.064,15.5,,,
2020-06-04,2634.0,334.0,10.0,1.0,3867.0,84134.0,0.069,14.6,,,
2020-06-05,2912.0,278.0,11.0,1.0,4232.0,88366.0,0.07,14.2,,,
2020-06-06,3235.0,323.0,13.0,2.0,4111.0,92477.0,0.071,14.0,,,
2020-06-07,3448.0,213.0,13.0,0.0,3728.0,96205.0,0.07,14.2,,,
2020-06-08,3762.0,314.0,14.0,1.0,4766.0,100971.0,0.067,14.9,,,
2020-06-09,4086.0,324.0,15.0,1.0,5359.0,106330.0,0.064,15.6,,,
2020-06-10,4364.0,278.0,15.0,0.0,4414.0,110744.0,0.068,14.8,,,
2020-06-11,4614.0,250.0,15.0,0.0,5193.0,115937.0,0.062,16.1,,,
2020-06-12,5062.0,448.0,16.0,1.0,5925.0,121862.0,0.064,15.6,,,
2020-06-13,5335.0,273.0,18.0,2.0,5426.0,127288.0,0.06,16.6,,,
2020-06-14,5760.0,425.0,19.0,1.0,6089.0,133377.0,0.062,16.1,,,
2020-06-15,6211.0,451.0,19.0,0.0,5306.0,138683.0,0.065,15.4,,,
2020-06-16,6591.0,380.0,19.0,0.0,5055.0,143738.0,0.067,14.9,,,
2020-06-17,7177.0,586.0,20.0,1.0,6034.0,149772.0,0.072,13.9,,,
2020-06-18,7848.0,671.0,22.0,2.0,5746.0,155518.0,0.082,12.2,,,
2020-06-19,8274.0,426.0,22.0,0.0,6231.0,161749.0,0.081,12.4,,,
2020-06-20,8605.0,331.0,22.0,0.0,7416.0,169165.0,0.078,12.8,,,
2020-06-21,9026.0,421.0,23.0,1.0,6008.0,175173.0,0.078,12.8,,,
2020-06-22,9561.0,535.0,23.0,0.0,6198.0,181371.0,0.078,12.7,,,
2020-06-23,10099.0,538.0,24.0,1.0,4995.0,186366.0,0.082,12.2,,,
2020-06-24,10728.0,629.0,24.0,0.0,6828.0,193194.0,0.082,12.2,,,
2020-06-25,11162.0,434.0,26.0,2.0,6543.0,199737.0,0.075,13.3,,,
2020-06-26,11755.0,593.0,27.0,1.0,6534.0,206271.0,0.078,12.8,,,
2020-06-27,12309.0,554.0,28.0,1.0,4606.0,210877.0,0.089,11.3,,,
2020-06-28,12772.0,463.0,28.0,0.0,4962.0,215839.0,0.092,10.9,,,
2020-06-29,13248.0,476.0,29.0,1.0,7791.0,223630.0,0.087,11.5,,,
2020-06-30,13564.0,316.0,29.0,0.0,4711.0,228341.0,0.083,12.1,,,
2020-07-01,14046.0,482.0,30.0,1.0,4886.0,233227.0,0.083,12.1,,,
2020-07-02,14519.0,473.0,31.0,1.0,4537.0,237764.0,0.088,11.3,,,
2020-07-03,15259.0,740.0,32.0,1.0,4483.0,242247.0,0.097,10.3,,,
2020-07-04,15491.0,232.0,34.0,2.0,4050.0,246297.0,0.09,11.1,,,
2020-07-05,15784.0,293.0,34.0,0.0,4710.0,251007.0,0.086,11.7,,,
2020-07-06,15964.0,180.0,35.0,1.0,4721.0,255728.0,0.085,11.8,,,
2020-07-07,16168.0,204.0,35.0,0.0,6133.0,261861.0,0.078,12.9,,,
2020-07-08,16423.0,255.0,35.0,0.0,4696.0,266557.0,0.071,14.0,,,
2020-07-09,16531.0,108.0,35.0,0.0,4588.0,271145.0,0.06,16.6,,,
2020-07-10,16649.0,118.0,35.0,0.0,4806.0,275951.0,0.041,24.2,,,
2020-07-11,16719.0,70.0,38.0,3.0,3648.0,279599.0,0.037,27.1,,,
2020-07-12,16801.0,82.0,38.0,0.0,3916.0,283515.0,0.031,32.0,,,
2020-07-13,16945.0,144.0,38.0,0.0,5802.0,289317.0,0.029,34.2,,,
2020-07-14,17061.0,116.0,38.0,0.0,4422.0,293739.0,0.028,35.7,,,
